"","Heading","Date","Content"
"1","Air Force ready to ensure flight safety in Northeast: Chief of Air Staff","August 13, 2015","Shillong: The Indian Air Force on Thursday said it is always ready to assist the civil aviation sector in ensuring flight safety in the Northeast, which has witnessed a number of helicopter crashes recently, mostly in Arunachal Pradesh.Chief of Air Staff, Air Chief Marshal Arup Raha said, ""In case the civil aviation sector asks for any assistance from Indian Air Force, we are always there. Indian Air Force has high standards, and those could also be implemented in some of the civil operation sector in this area.""The most recent chopper accident occurred when a Pawan Hans helicopter went missing on August 4 with Tirap deputy commissioner Dr Kamlesh Kumar Joshi and pilots M S Brar and Rajeev Hoskote in Khonsa in Tirap district. All three of them died in the accident.The Air Force chief said that apart from being engaged in post-crash rescue operation, the Air Force could also help 'prevent' air accidents.""We don't want to be there only for rescue operation. We want to be there to prevent such accidents,"" Air Chief Marshal Raha told reporters at the Eastern Air Command Headquarter.He pointed out that all five recent chopper crashes in Arunachal Pradesh were mostly caused by inclement weather, saying ""We have to have the highest standards of safety implemented, Standard Operating Procedures followed and rules and regulations put in place in addition to proper monitoring...""""No amount of your skill, capability can protect you from weather. You have to be very, very careful in making decisions, whether to get airborne, fly that route or return for safety reasons,"" the Chief of Air Staff warned.""What is required to prevent such accidents is very strict implementation of the Standard Operation Procedure. Indian Air Force has got very strict rules, yet we get involved in accidents in this area,"" Raha pointed out.Noting that the Northeast was ""getting top priority"" from the IAF, he said that the Air Force has ""lots of plans for the Northeast.""He said that a ""large number of capable systems"" and upgradation of ALGs in various parts were creating more manoeuvring areas in the region. "
"2","Security measures beefed up in Manipur for Independence Day","August 13, 2015","Imphal: Security measures have been tightened in the state capital as well as district headquarters of Manipur where Independence Day functions will be held in the face of a strike call by militant outfits, a police officer said on Thursday.Work for security sanitisation has been geared up in all these places by using metal detectors by the bomb experts and conducting frisking and checking of passers by at strategic points, the officer said.Meanwhile, militant outfits have jointly called for a total shutdown in Manipur in view of Independence Day celebrations, the officer said.They include outfits like United National Liberation Front of Western South East Asia, the Coordination Committee (corcom), United Revolutionary Front (Lalheiba) group and Kangleipak Communist Party (KCP).The shutdown would start from midnight of August 14 and would last till 6 PM on August 15. "
"3","Civil aviation probe into chopper crash: Arunachal CM","August 13, 2015","Itanagar: The Union Civil Aviation Ministry has ordered an inquiry into the Pawan Hans chopper crash, Arunachal Pradesh Chief Minister Nabam Tuki said on Thursday.Talking to reporters at Dibrugarh in neighbouring Assam after paying his last respects to the three killed in the incident, Tuki said that the inquiry report would help in knowing the cause of the crash.""Our government has been informed about the inquiry by civil aviation,"" he added.Tuki today air-dashed to Dibrugarh and was accompanied by Khonsa East MLA Wanglam Sawin, Chief Secretary Ramesh Negi, ADC to Governor Tage Habung and other officers.The Chief Minister along with Negi consoled the bereaved kins.The mortal remains of Tirap Deputy Commissioner Dr Kamlesh Kumar Joshi and Captain M S Brar were flown to Delhi in an AN 32 IAF plane, deployed at the request of the Arunachal government.The mortal remains of the other deceased Captain Rajeev H Hoskote were flown in a Pawan Hans chopper to Guwahati.The Dauphin VT-PHK chopper with all three men on board had lost all contact with the Air Traffic Control five minutes after take off on the morning of August 4.The thick forests and inclement weather meant that the search operations were severely hampered for a week.In spite of the Army and the Indian Air Force taking part in the search operations, the crash site was located only on Monday, six days after it went missing.The helicopter had crashed against a 6,000-feet high mountain near a place called Pongkhong which is around 16 km from the district headquarters of Khonsa."
"4","IAF chief reviews security scenario in northeast","August 12, 2015","Shillong: Indian Air Force chief Air Chief Marshal Arup Raha on Wednesday reviewed the security scenario in the northeast with commanders from the Eastern Air Command.Raha, who is here on a two-day visit, inaugurated the commanders conference at the command headquarters here in Meghalaya.The conference is being hosted by Air Officer Commanding-in-Chief Eastern Air Command Air Marshal S.B. Deo.""The chief of the air staff updated the commanders on the security scenario with special reference to the implications in the northeastern region,"" Defence Ministry spokesman Amit Mahajan said.""He also stressed on the importance of leadership, team building and discipline which were pivotal in pursuit of achieving the operational goals,"" Mahajan said.During the conference, the air chief marshal awarded trophies to the commanders for achieving excellence in operations, maintenance and administration. Air Force Station Chabua was awarded the `Pride of EAC` Trophy, for standing first in overall performance and Digaru was awarded the `Best Non-Flying Station`.On his arrival, the IAF chief, who was accompanied by his wife Lily Raha, the president of the Air force Wives Welfare Association, was received by Air Marshal Deo and other senior officers at the advanced landing ground in upper Shillong.The Air Warriors presented a ceremonial guard of honour to the air chief."
"5","Rs 145 cr allocated for cultural activities in Northeast: Govt","August 12, 2015","New Delhi: The Centre has allocated over Rs 145 crore for carrying out various cultural activities in the Northeastern region this year, the Parliament was informed on Wednesday.""In order to undertake these activities in the Northeast Regions, 10 per cent of the annual plan outlay is earmarked. Accordingly, during 2015-16, an amount of Rs 145.50 crores has been earmarked for the benefit of Northeast Region,"" Minister of State for Culture Mahesh Sharma said in a reply in the Rajya Sabha.Sharma said that the ministry and its various attached, sub-ordinate offices and autonomous organisations undertake cultural activities through their Plan Schemes for protection, preservation and promotion of culture across the country. "
"6","Arunachal Pradesh: Search for occupants of missing chopper on","August 12, 2015","Itanagar With the weather improving in Tirap district of Arunachal Pradesh, a specially trained mountaineering team from the high altitude school of Jammu and Kashmir started search operations for the occupants of the missing chopper early Wednesday morning.The mountaineering team, which had arrived here on Tuesday night, was airlifted by an IAF chopper to be air dropped at the tough hilly terrain where the Pawan Hans helicopter had crashed on August 4 last, Director General of Police S Nitithyanandam told PTI.Massive search operation for the chopper with Tirap deputy commissioner Kamlesh Kumar Joshi on board and piloted by captains MS Brar and Rajeev Hoskote has been continuing for the last nine days.Some debris including the tail portion of the chopper was found on Monday, but the team is expecting concrete result today, the DGP added."
"7","No farmer suicide in Tripura: Manik Sarkar","August 11, 2015","Agartala: No farmer has so far committed suicide in Tripura due to crisis in the agriculture sector, Chief Minister Manik Sarkar today said.""There is no record of farmers' suicide due to crisis in agriculture as the government is sympathetic to their cause and always tried to stand beside them. But, some quarters are trying to equate the situation at par with other states where farmers' suicide is rampant,"" Sarkar told reporters here.""While replying to a question by opposition MLA Ratan Lal Nath yesterday in the Assembly, I said among others, three farmers also committed suicide. But, those suicides are not related to the crisis in agriculture,"" he said.""When we came to know that three farmers have committed suicide, we investigated the incidents and found the causes which were either related to disease or addictions,"" he said.
Sarkar said the state government was trying to lend its helping hand to the problems of the farmers, despite facing constraints.""Ours is a deficit state and not a surplus one. Moreover, special category status of the state was withdrawn, but these could not stop us to help the farmers.""We are trying to reach out to every farmer with the facility of irrigation, power at cheaper prices and helping them to get loans from banks. We are also giving subsidy to buy modern farming tools,"" Sarkar, also the member of the CPI(M) Politburo, said."
"8","Bad weather affects search for missing Pawan Hans chopper","August 11, 2015","Itanagar: Bad weather affected the search for a Pawan Hans chopper crash on Tuesday, on the eighth day of the hunt, as search teams have not been able to reach the bottom of the gorge where the chopper has been sighted.A massive search operation was undertaken after the chopper with Tirap Deputy Commissioner Kamlesh Kumar Joshi and captains M S Brar and Rajeev Hoskote on board went missing after take-off from Khonsa in Tirap district of Arunachal Pradesh on August 4.The chopper was found yesterday between Thinsa and Sanglian villages in Tirap district of Arunachal Pradesh but the fate of the three occupants is not known.Though the weather was bright in the morning when the operation resumed, it deteriorated as the day progressed hampering the search, Director General of Police S Nitithyanandam said.""We are yet to reach the base of the gorge where the chopper is suspected to have crashed,"" Civil Aviation secretary B M Mishra told PTI.Attempts are on to drop down from air to the deep gorge where the main body of the chopper is sighted. The ground team is also working hard to approach the bottom of the gorge, Mishra said.The search operation will continue tomorrow morning. "
"9","Delhi court to record Irom Sharmila's statement on Wednesday","August 11, 2015","New Delhi: A Delhi court is likely to record tomorrow statement of Manipuri rights activist Irom Sharmila, who is facing trial for allegedly trying to commit suicide during her fast-unto-death at Jantar Mantar here in 2006.The court, which was scheduled to commence recording of Sharmila's statement on Tuesday, listed it for tomorrow as the metropolitan magistrate concerned was not holding court.On June 6, the court had concluded recording of prosecution evidence in the case and had posted the matter for recording of Sharmila's statement under section 313 of CrPC.42-year-old Sharmila is on a fast for over 14 years in Manipur demanding repeal of the Armed Forces (Special Powers) Act (AFSPA).Sharmila had earlier told the court that she was very much eager to eat if she got the assurance that the ""draconian"" act will be revoked.Widespread discrimination was being done with the people from northeast, she had alleged, adding she never intended to commit suicide and it was just a protest against AFSPA.The court had on March 4, 2013, put Sharmila on trial after she had refused to plead guilty for the offence of attempting to commit suicide (section 309 of IPC).If convicted, Sharmila, who is out on bail in this case, faces a maximum jail term of one year.Popularly known as the 'Iron Lady', Sharmila is fed through a nasal tube. She had earlier told the court that her protest was non-violent. "
"10","Tripura militants have camps in Bangladesh: CM","August 11, 2015","Agartala: Terrorist outfits of Tripura have camps in Bangladesh, though they have no hideout in the state currently, Chief Minister Manik Sarkar said.""Militant outfits have no camps or hideouts in Tripura. However, the terrorists of the state have camps in adjoining Bangladesh,"" he told the Tripura assembly on Monday.Sarkar, who holds the home portfolio, said during the past two years (2013 and 2014), 12 extremist-related incidents had occurred in the state in which four people were killed, two injured and 18 people abducted. Of the 18 kidnapped people, 16 were released by the rebels.""There is no militancy related incident so far this year. A significant number of militants have surrendered to the government in the recent past,"" he added.India is erecting a fence and putting up flood lighting along the 4,096-km India-Bangladesh border in West Bengal, Assam, Tripura, Meghalaya and Mizoram to check trans-border movement of militants and check border crimes.""Of the 856-km India-Bangladesh border with Tripura, fencing could not be completed in a little over 115 km border due to numerous reasons, including objection raised by Bangladeshi border guards,"" Sarkar added.Members of the National Liberation Front of Tripura (NLFT) and the All Tripura Tiger Force (ATTF) have taken shelter and arms training in clandestine camps in various parts of Bangladesh.Both outfits, banned in 1997 by the union home ministry, have been demanding secession of Tripura from India. But as most ATTF cadres have surrendered, the group is almost non-existent now.Tripura and union home ministry officials held two rounds of discussions recently with the NLFT after the rebel group expressed its willingness to hold peace talks with the government."
"11","Tripura gets a new university - 'Maharaja Birbikram Viswavidyalaya'","August 10, 2015","Agartala: A new state university, Maharaja Birbikram Viswavidyalaya, will be operational from the next academic session, a state minister said today.State Higher Education minister Tapan Chakraborty said even though a central university was there, another university was necessary to meet the pressure of colleges and extend the scope of higher education in the state.He said, a bill on the university, which was placed in the last session of the Assembly, was pending for recommendations of the select committee and was passed today unanimously.
Chakraborty said, already about Rs 50 crore was spent for building infrastructure for the new university and other infrastructures would be built soon, so that the facility could be started from the next academic year.He said a state university was setup in 1987 and was converted to central university in 2007.The state has around 40 colleges including two medical colleges and every year about 20,000 students pass higher secondary examinations, the minister said adding, the new university would ease the pressure on the central university. "
"12","Encounter killing; SC comes down on Manipur government","August 10, 2015","New Delhi: The Supreme Court today said the fact that compensation has been paid to the next of kin of victims of security forces' encounter killings in Manipur ""amply indicate"" that such encounters were fake.It asked Manipur government to apprise the court of the steps taken after compensations were paid to kith and kin of deceased persons.""If you think it was a valid encounter, then why are you paying compensation? Have you challenged any of the orders?"" the social justice bench of Justices Madan B Lokur and U U Lalit said.The bench said that the fact that the compensation has been paid to the next relatives of the deceased ""amply indicate"" that encounters were fake and the question would be ""were they valid"".It gave the instance 2001 Parliament attack case and said ""no court awarded compensation to the relatives of the accused (terrorists).""However, senior advocate V Giri, appearing for the state government, said that the payment of compensation on the directions of the court is not an admission of an alleged offence.Meanwhile, the court was told by the amicus curiae that the state and the Central government and NHRC have provided a list of 62 killings that were sought to be passed-off as those of militants by security forces.The court asked Manipur government to file its reply to a petition by one Suresh Singh seeking repeal of Armed Forces Special Powers Act.Earlier, the court had asked the Centre, Manipur government and NHRC to submit a comprehensive report on alleged fake encounter cases in the state, including 62 such cases where FIRs have not even been lodged.Senior advocate Colin Gonsalves, appearing for Extra Judicial Execution Victims' Families Association, had said ""in all these 62 cases, not a single FIR has been lodged against any of the accused.""The bench had also asked Additional Solicitor General Maninder Singh, representing the Centre, and the lawyers of NHRC and the state government to provide requisite information to the amicus curiae who, in turn, will prepare a comprehensive chart of cases for the perusal of court.The erstwhile UPA government had earlier told the apex court that findings of the Supreme Court-appointed panel's report on extra-judicial killings in Manipur had been examined at the highest level."
"13","Debris of missing Pawan Hans helicopter found in Arunachal Pradesh","August 10, 2015","New Delhi: The wreckage of Pawan Hans helicopter, which went missing after taking off on August 4, has been found in Arunachal Pradesh's Tirap district.""The Air Force has confirmed that the wreckage of the missing helicopter has been found 12 km south of Khonsa, the headquarters of Tirap district,"" Minister of State for Home Kiren Rijiju told PTI here.The Union Minister said that Air Force chopper is hovering over the area where the wreckage has been found.However, the fate of the three occupants, including a young IAS officer Kamalesh Joshi, of the chopper is yet to be known.The massive search operation was launched to locate the chopper which went missing after taking off from Khonsa in Arunachal Pradesh's Tirap district on August 4."
"14","Naga pact only a 'formula', will talk to other CMs: Zeliang","August 9, 2015","New Delhi: Naga peace pact is only a ""formula"" for a final accord, Nagaland Chief Minister T R Zeliang today asserted while seeking to allay apprehensions of other northeastern states, and said that he other members of Assembly were even ready to step down to make a new beginning.Voicing confidence that other rebels groups would also come on board after the signing of agreement between NSCN-IM and the Centre, he said a 16-member Naga delegation will visit Myanmar to meet S S Khaplang, the chief of the other Naga rebel group NSCN-K which had abrogated the ceasefire agreement and attacked security personnel, including a convoy of army killing 18 soldiers in Manipur in June.""I along with all members of the Nagaland Assembly are ready to step down, if an acceptable and honourable solution is found to the Naga people, in order to make a new beginning,"" the Chief Minister, whose Naga People's Front is an NDA ally, said.His remarks are significant as the region has a history of rebels groups joining political mainstream and even assuming power after signing of peace accords.Asserting that the agreement will not affect non-Nagas and will resolve the problems of North-East, Zeliang said that he speak to other chief ministers of the region.Chief Ministers of Assam, Manipur and Arunachal Pradesh have said they will not cede an inch of their land. They have protested for being consulted before signing of the pact with NSCN-IM on Monday.""The pact signed?by Centre and NSCN-IM will help bring peace to the North-East. I will speak personally to my counterparts of neighbouring states to allay their apprehensions?over the agreement,"" Zeliang said at a press conference here, a day after meeting Prime Minister Narendra Modi.""Solving the Naga problem is solving the problems of the North-East. Non-Nagas of the North-East should not have any negative thinking about the pact with NSCN-IM,"" he said.Zeliang said the peace pact was only a formula for a final agreement and what he understood after meeting Modi and Home Minister Rajnath Singh was that the Naga political problem will?be resolved through sharing of power between the government of India and the Naga people.""Today we have trust and confidence in Prime Minister Modi,"" Zeliang said.Highlighting the key aspects of the formula, he said Naga customary system and land holding system will be respected by the Centre based on the ""unique history of Nagas"" and it will be applied across the Naga inhabited areas of the Northe East, including Assam, Manipur and Arunachal Pradesh.""This Naga issue does not pertain to only Nagaland. Naga problem is covering the entire Naga?contiguous region.""So, respecting the traditional land holding system, customary system, it covers the entire Naga (community) wherever they are...,"" he said. "
"15","Naga pact just the formula for a settlement: Zeliang","August 9, 2015","New Delhi: Nagaland Chief Minister TR Zeliang on Sunday said the Naga peace pact signed between the government and the NSCN-IM was just the formula to end decades of conflict in the state.""After meeting Prime Minister Narendra Modi, I have come to know that the Naga accord is just the formula to settle the Naga conflict. It is just the beginning of the solution,"" Zeliang told reporters.He said that after a lot of efforts the government and the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM) had understood each other`s problems. So there was a need to solve the issue permanently, which would be possible only if there was no ""political influence"".""I am happy that the prime minister is resolute in resolving the Naga conflict. It is important that the settlement made is keeping in mind the Naga cultural system and based on their unique history. It is important that there is no political influence in the entire issue,"" he said.Asked about the inclusion of other factions of the NSCN in the peace talks, Zeliang told IANS: ""A delegation of 16 members from the civil society will meet NSCN-K (Khaplang) and, if required, the other factions too and try to persuade them to join the peace talks.""The delegation consists of Naga Hoho, the apex body of all the Naga community, and one more group. ""They have been given the security clearance by the home ministry to travel to Myanmar and held talks with the NSCN-K, which has significant presence in Nagaland. We hope things are successful,"" he said.In recent times, NSCN-K chief S.S. Khaplang has signed a pact with the Myanmar government, paving the way for grant of autonomy to the NSCN-K in Sagaing -- a northwestern administrative region of Myanmar.The agreement also allows NSCN-K members to move unarmed across the country and to open a sub-office in the region.Zeliang said the final results of the Naga Accord was expected by the end of this year.He also said that allegations by Nagaland`s neighbouring states that they were not consulted over the Naga accord was false and they were all aware of it.""There is a difference between active participation and consultation. Consultation with the northeastern states was very much there before signing the Naga accord,"" he said.Zeliang will meet the Naga peace talks interlocuter R.N. Ravi on August 16.On August 3, the NSCN-IM and the central government signed an accord, after almost 20 years of negotiation."
